ORDER_ID,YOUR_ORDER_ID,ORDER_TYPE,OFFER_NAME,YOUR_SKU,SHOP_SKU,DELIVERED_COUNT,RETURNED_COUNT,ORDER_CREATION_DATE,TRANSFERRED_TO_DELIVERY_DATE,DELIVERY_DATE,RETURN_WAREHOUSE_OR_SC_ACCEPT_DATE,PAYMENT_TYPE,VAT,PRICE_WITH_VAT_AND_NO_DISCOUNT,SHOP_MARKETPLACE_DISCOUNT,SPASIBO_DISCOUNT,YANDEX_PLUS_DISCOUNT,PRICE_WITH_VAT_AND_ALL_DISCOUNTS,RETURN_PRICE_SUM_WITH_VAT_AND_NO_DISCOUNTS,RETURN_DISCOUNT_SUM,RETURN_PRICE_SUM_WITH_VAT_AND_DISCOUNTS,RNPT,ORGANIZATION,INN,KPP,ORGANIZATION_JUR_ADDRESS,UPD_STATUS,UPD_DATE,UPD_NUMBER,UKD_STATUS,UKD_DATE,UKD_NUMBER,CONSIGNMENT_NOTE_DATE,CONSIGNMENT_NOTE_NUMBER,INVOICE_DATE,INVOICE_NUMBER,ADJUSTMENT_INVOICE_DATE,ADJUSTMENT_INVOICE_NUMBER,REDEEMED_PRICE
55963356867,55963356867,Продажа физлицу,"Тумба напольная без раковины Vannika Bliss 50 для ванной комнаты, белая",222.ТН.V.Bliss,222.ТН.V.Bliss,0,1,10.04.2026,12.04.2026,16.04.2026,05.05.2026,Предоплата,22%,11394,1724,0,0,9670,11394,1724,9670,,,,,,,,,,,,,,,,,,
56329273795,56329273795,Продажа физлицу,"Тумба напольная Vannika Bliss 80 с раковиной Como 80 для ванной комнаты, белая",225.ТН.V.Bliss.ККОМ,225.ТН.V.Bliss.ККОМ,0,1,22.04.2026,26.04.2026,27.04.2026,29.05.2026,Предоплата,22%,26870,11579,0,0,15291,26870,11579,15291,,,,,,,,,,,,,,,,,,
56369927298,56369927298,Продажа физлицу,"Шкаф-зеркало Vannika Canto 60 для ванной комнаты, дуб вотан, шкаф витрина",444.ЗШ.V.Canto.ДИВ,444.ЗШ.V.Canto.ДИВ,0,1,23.04.2026,24.04.2026,28.04.2026,07.05.2026,Яндекс.Сплит (предоплата),22%,7040,3277,0,0,3763,7040,3277,3763,,,,,,,,,,,,,,,,,,
56515688195,56515688195,Продажа физлицу,"Тумба подвесная без раковины Vannika Glad 50 для ванной комнаты, cappuccino",518.ТП.V.Glad,518.ТП.V.Glad,1,1,28.04.2026,29.04.2026,01.05.2026,07.05.2026,Предоплата,22%,14829,6427,0,0,8402,14829,6427,8402,,,,,,,,,,,,,,,,,,
56539447619,56539447619,Продажа физлицу,"Шкаф-зеркало Vannika Canto 60 для ванной комнаты, дуб вотан, шкаф витрина",444.ЗШ.V.Canto.ДИВ,444.ЗШ.V.Canto.ДИВ,1,1,29.04.2026,30.04.2026,04.05.2026,12.05.2026,Предоплата,22%,7039,3695,0,0,3344,7039,3695,3344,,,,,,,,,,,,,,,,,,
56599425600,56599425600,Продажа физлицу,"Тумба подвесная без раковины Vannika Glad 80 для ванной комнаты, cappuccino",521.ТП.V.Glad,521.ТП.V.Glad,1,1,30.04.2026,01.05.2026,05.05.2026,18.05.2026,Предоплата,22%,19384,8940,0,2380,8064,19384,11320,8064,,,,,,,,,,,,,,,,,,
56609584640,56609584640,Продажа физлицу,"Тумба подвесная Vannika Mirva 70 с раковиной Фостер 70 для ванной комнаты, белая",286.ТП.V.Mirva.КФОС,286.ТП.V.Mirva.КФОС,1,1,30.04.2026,02.05.2026,07.05.2026,18.05.2026,Предоплата,22%,30263,15439,0,0,14824,30263,15439,14824,,,,,,,,,,,,,,,,,,
56692379971,56692379971,Продажа физлицу,"Тумба подвесная без раковины Vannika Glad 80 для ванной комнаты, cappuccino",521.ТП.V.Glad,521.ТП.V.Glad,1,1,03.05.2026,04.05.2026,08.05.2026,18.05.2026,Предоплата,22%,18839,8521,0,0,10318,18839,8521,10318,,,,,,,,,,,,,,,,,,
56692586883,56692586883,Продажа физлицу,"Шкаф-пенал подвесной Vannika Glad для ванной комнаты, cappuccino",523.ШП.V.Glad.Р,523.ШП.V.Glad.Р,1,1,03.05.2026,04.05.2026,08.05.2026,18.05.2026,Предоплата,22%,21982,7808,0,0,14174,21982,7808,14174,,,,,,,,,,,,,,,,,,
56899052035,56899052035,Продажа физлицу,"Шкаф-зеркало Vannika Canto 70 для ванной комнаты, дуб вотан",445.ЗШ.V.Canto.ДИВ,445.ЗШ.V.Canto.ДИВ,1,1,09.05.2026,10.05.2026,14.05.2026,21.05.2026,Предоплата,22%,8257,3535,0,0,4722,8257,3535,4722,,,,,,,,,,,,,,,,,,
56957620738,56957620738,Продажа физлицу,"Тумба подвесная без раковины Vannika Glad 50 для ванной комнаты, cappuccino",518.ТП.V.Glad,518.ТП.V.Glad,1,1,11.05.2026,13.05.2026,17.05.2026,28.05.2026,Яндекс.Сплит (предоплата),22%,14828,6381,0,0,8447,14828,6381,8447,,,,,,,,,,,,,,,,,,
56959270403,56959270403,Продажа физлицу,"Тумба напольная Vannika Flavia 80 с раковиной Фест 80 для ванной комнаты, белая",170.ТН.V.Flavia.КФЕС,170.ТН.V.Flavia.КФЕС,1,1,11.05.2026,12.05.2026,16.05.2026,28.05.2026,Яндекс.Сплит (предоплата),22%,31012,16521,0,0,14491,31012,16521,14491,,,,,,,,,,,,,,,,,,
57277480897,57277480897,Продажа физлицу,"Тумба подвесная Vannika Flavia 60 с раковиной Фест 60 для ванной комнаты, белая",171.ТП.V.Flavia.КФЕС,171.ТП.V.Flavia.КФЕС,1,1,20.05.2026,21.05.2026,23.05.2026,30.05.2026,Предоплата,22%,21086,11285,0,0,9801,21086,11285,9801,,,,,,,,,,,,,,,,,,
